FECHA NEGOCIACIÓN,TÍTULO,EMISOR,NÚMERO DE ACCIONES,V. NOM. UNITARIO,PRECIO,VALOR NOMINAL,VALOR EFECTO,CASA COMPRADORA,CASA VENDEDORA,BOLSA
1/2/2019,ACCIONES,CORPORACION FAVORITA C.A.,1000,1,2.45,1000,2450,MERCAPITAL,ORION,BVG
1/2/2019,ACCIONES,CORPORACION FAVORITA C.A.,821,1,2.44,821,2003.24,PICAVAL,PICAVAL,BVG
1/2/2019,ACCIONES,SURPAPELCORP S.A.,90,1,4.25,90,382.5,ACCIONES Y VALORES,ACCIONES Y VALORES,BVG
1/2/2019,ACCIONES,CORPORACION FAVORITA C.A.,2027,1,2.44,2027,4945.88,SANTA FE,PICAVAL,BVG
1/2/2019,ACCIONES,CORPORACION FAVORITA C.A.,189,1,2.44,189,461.16,SILVERCROSS,PICAVAL,BVG
1/2/2019,ACCIONES,CORPORACION FAVORITA C.A.,1861,1,2.44,1861,4540.84,MERCAPITAL,PICAVAL,BVG
1/2/2019,ACCIONES,BANCO GUAYAQUIL S.A.,2000,1,0.96,2000,1920,PLUSBURSÁTIL,SANTA FE,BVG
1/2/2019,ACCIONES,CORPORACION FAVORITA C.A.,1028,1,2.44,1028,2508.32,ADVFIN S.A.,ACCIONES Y VALORES,BVG
1/2/2019,ACCIONES,CORPORACION FAVORITA C.A.,684,1,2.44,684,1668.96,ADVFIN S.A.,ACCIONES Y VALORES,BVG
1/3/2019,ACCIONES,CORPORACION FAVORITA C.A.,398,1,2.45,398,975.1,SANTA FE,SANTA FE,BVG
1/3/2019,ACCIONES,CORPORACION FAVORITA C.A.,400,1,2.45,400,980,SANTA FE,SANTA FE,BVG
1/3/2019,ACCIONES,CORPORACION FAVORITA C.A.,204,1,2.46,204,501.84,ACCIONES Y VALORES,ACCIONES Y VALORES,BVG
1/3/2019,ACCIONES,SURPAPELCORP S.A.,70,1,4.25,70,297.5,ACCIONES Y VALORES,ACCIONES Y VALORES,BVG
1/3/2019,ACCIONES,CORPORACION FAVORITA C.A.,2000,1,2.44,2000,4880,PICAVAL,PICAVAL,BVG
1/3/2019,ACCIONES,CORPORACION FAVORITA C.A.,115,1,2.45,115,281.75,CASAREAL,SANTA FE,BVG
1/3/2019,ACCIONES,CORPORACION FAVORITA C.A.,695,1,2.45,695,1702.75,CASAREAL,SANTA FE,BVG
1/3/2019,ACCIONES,BANCO DE LA PRODUCCION S.A PRODUBANCO,141495,1,0.67,141495,94801.65,METROVALORES,METROVALORES,BVG
1/3/2019,ACCIONES,BANCO GUAYAQUIL S.A.,11069,1,0.96,11069,10626.24,SILVERCROSS,SILVERCROSS,BVG
1/3/2019,ACCIONES,BANCO GUAYAQUIL S.A.,20035,1,0.96,20035,19233.6,SILVERCROSS,SILVERCROSS,BVG
1/4/2019,ACCIONES,BANCO DE LA PRODUCCION S.A PRODUBANCO,22321,1,0.67,22321,14955.07,METROVALORES,METROVALORES,BVG
1/4/2019,ACCIONES,CORPORACION FAVORITA C.A.,1236,1,2.44,1236,3015.84,PLUSBURSÁTIL,MERCHANT VALORES,BVG
1/4/2019,ACCIONES,CERVECERIA NACIONAL CN S.A.,100,1,95,100,9500,ORION,ADVFIN S.A.,BVG
1/7/2019,ACCIONES,CORPORACION FAVORITA C.A.,228,1,2.45,228,558.6,MERCAPITAL,METROVALORES,BVG
1/7/2019,ACCIONES,CORPORACION FAVORITA C.A.,72,1,2.45,72,176.4,BANRIO,METROVALORES,BVG
1/7/2019,ACCIONES,CORPORACION FAVORITA C.A.,85,1,2.45,85,208.25,ORION,METROVALORES,BVG
1/7/2019,ACCIONES,CORPORACION FAVORITA C.A.,200,1,2.45,200,490,ACCIONES Y VALORES,ACCIONES Y VALORES,BVG
1/7/2019,ACCIONES,CORPORACION FAVORITA C.A.,200,1,2.45,200,490,ACCIONES Y VALORES,ACCIONES Y VALORES,BVG
1/7/2019,ACCIONES,CORPORACION FAVORITA C.A.,2047,1,2.44,2047,4994.68,MERCHANT VALORES,METROVALORES,BVG
1/7/2019,ACCIONES,CORPORACION FAVORITA C.A.,5695,1,2.44,5695,13895.8,SANTA FE,SANTA FE,BVG
1/7/2019,ACCIONES,BANCO DE LA PRODUCCION S.A PRODUBANCO,3800,1,0.68,3800,2584,ACCIONES Y VALORES,VECTORGLOBAL WMG,BVG
1/7/2019,ACCIONES,BANCO DE LA PRODUCCION S.A PRODUBANCO,3823,1,0.68,3823,2599.64,ACCIONES Y VALORES,VECTORGLOBAL WMG,BVG
1/7/2019,ACCIONES,SURPAPELCORP S.A.,70,1,4.25,70,297.5,ACCIONES Y VALORES,ACCIONES Y VALORES,BVG
1/7/2019,ACCIONES,CORPORACION FAVORITA C.A.,816,1,2.45,816,1999.2,ORION,MERCAPITAL,BVG
1/7/2019,ACCIONES,BANCO DE LA PRODUCCION S.A PRODUBANCO,134,1,0.68,134,91.12,METROVALORES,METROVALORES,BVG
1/7/2019,ACCIONES,BANCO DE LA PRODUCCION S.A PRODUBANCO,284,1,0.68,284,193.12,METROVALORES,METROVALORES,BVG
